A	B	C	D	E	F	G	H	I	J
72	-26.98602	-24.06313	-20.98357	-18.09691	-15.14821	-12.24391	-9.29614	-5.96706	-3.10019
72.048	-26.99441	-24.02425	-20.99177	-18.08102	-14.96208	-12.2199	-9.2638	-5.0909	-3.10394
72.096	-27.0021	-24.04385	-21.01846	-18.02384	-14.84453	-12.21699	-9.2259	-4.98822	-3.10931
72.144	-26.98926	-24.07142	-21.00711	-18.0889	-14.96477	-12.17774	-9.07646	-4.85963	-3.13906
72.192	-27.00539	-24.07777	-20.99909	-18.07092	-15.02909	-12.20494	-8.93963	-4.76191	-3.14263
72.24	-27.03342	-24.08736	-21.00614	-17.93247	-15.08103	-12.03748	-8.84668	-4.81135	-3.16853
72.288	-27.028	-24.09042	-21.05873	-17.93835	-15.06365	-11.95269	-8.78654	-5.04062	-3.04792
72.336	-27.03008	-24.12832	-21.08648	-17.94002	-15.12722	-11.83439	-8.61602	-5.04776	-2.93185
72.384	-27.02249	-24.10275	-21.05377	-18.02977	-15.16633	-11.59798	-8.47674	-5.2275	-2.8787
72.432	-27.01753	-24.08185	-21.03764	-18.09831	-15.18102	-11.87011	-8.42994	-5.35552	-2.85516
72.48	-26.98125	-24.09399	-21.01105	-18.10178	-15.21721	-12.02325	-8.37382	-5.55898	-2.78163
72.528	-26.93435	-24.11211	-20.98185	-18.10753	-15.26271	-12.12088	-8.12672	-5.81772	-2.70035
72.576	-26.9591	-24.03899	-20.97935	-18.14307	-15.14391	-12.09424	-7.95157	-6.04041	-2.61667
72.624	-26.98444	-24.08407	-21.03922	-18.16327	-15.02927	-12.11713	-8.17606	-6.05274	-2.39278
72.672	-26.94946	-24.05372	-20.98237	-18.11642	-14.9771	-12.15244	-8.40098	-6.10167	-2.42215
72.72	-26.98236	-24.02879	-21.02291	-18.05266	-14.94193	-12.26392	-8.44972	-6.11015	-2.12746
72.768	-27.01549	-24.04112	-21.05627	-18.07435	-15.09479	-12.21773	-8.5632	-6.10524	-1.86686
72.816	-26.98741	-24.04668	-21.01943	-18.05271	-15.10466	-12.21184	-8.98351	-6.01201	-1.94582
72.864	-26.9306	-24.05766	-20.99075	-18.09502	-15.13723	-12.12218	-9.20213	-6.07961	-2.05573
72.912	-26.96484	-24.05178	-21.05488	-18.1021	-15.21874	-12.06667	-9.14916	-6.10236	-2.05332
72.96	-27.00446	-24.04413	-21.0932	-18.05225	-15.19608	-11.96121	-9.26074	-6.12655	-1.85143
73.008	-27.03171	-24.04478	-21.09885	-18.01629	-15.16884	-11.82605	-9.28252	-6.19601	-1.91584
73.056	-27.02286	-24.08134	-21.0888	-18.04812	-15.20391	-11.7204	-9.26561	-6.30759	-1.92983
73.104	-27.00997	-24.10437	-21.04005	-18.05897	-15.18482	-11.62912	-9.1784	-6.04866	-2.03668
73.152	-26.98681	-24.09251	-21.04283	-18.08422	-15.12102	-11.62463	-9.17034	-5.80702	-2.30738
73.2	-26.97652	-24.06674	-21.02546	-18.0579	-15.14984	-11.46417	-9.16529	-5.65768	-2.41265
73.248	-26.8933	-23.94664	-21.01035	-18.0497	-15.07403	-11.52783	-9.12187	-5.59735	-2.70392
73.296	-26.94052	-23.99261	-21.0793	-17.99298	-15.05096	-11.48483	-9.13522	-5.48637	-2.88574
73.344	-26.94793	-24.03449	-21.0723	-18.04877	-15.07829	-11.6262	-8.83065	-5.28111	-2.85164
73.392	-26.96086	-24.08189	-20.99886	-18.11207	-15.11569	-11.89806	-8.75637	-5.12241	-2.74256
73.44	-27.01424	-24.09533	-21.0243	-18.11804	-15.07185	-12.012	-8.61598	-4.80167	-2.8079
73.488	-26.9603	-24.10034	-21.06869	-18.11378	-15.08696	-12.04188	-8.27796	-4.5306	-3.03712
73.536	-26.97244	-24.061	-21.09941	-18.12444	-15.11884	-12.0809	-7.81131	-4.65478	-2.91405
73.584	-26.97837	-24.05975	-21.11841	-18.11341	-15.12866	-12.09188	-7.71354	-4.44799	-2.97332
73.632	-26.93018	-24.07314	-21.09733	-18.06485	-15.14122	-12.0379	-7.56587	-4.4573	-3.00844
73.68	-26.9275	-24.12193	-21.06053	-18.06175	-15.05309	-11.98864	-7.46166	-4.67272	-3.05329
73.728	-26.94394	-24.09	-21.05405	-18.1041	-15.05883	-11.9456	-7.51568	-4.97798	-2.92281
73.776	-26.95474	-24.10168	-20.95201	-18.13204	-15.05522	-11.91228	-7.76706	-5.24028	-2.78552
73.824	-26.96331	-24.09505	-20.91217	-18.18319	-15.08881	-11.89384	-7.70186	-5.53985	-2.82134
73.872	-26.94107	-24.07661	-21.00034	-18.19663	-15.06045	-11.91154	-7.9334	-5.77857	-2.78788
73.92	-26.92152	-24.07388	-21.01499	-18.14265	-15.04646	-11.62972	-8.27026	-5.93991	-2.64628
73.968	-26.92657	-24.10372	-21.01499	-18.09163	-15.06022	-11.54396	-8.65684	-5.89079	-2.68576
74.016	-26.94649	-24.11132	-21.02379	-18.11068	-15.0921	-11.20737	-8.87393	-5.92633	-2.67909
74.064	-26.98713	-24.10483	-21.06396	-18.12759	-15.12959	-10.81727	-8.99996	-5.9792	-2.58896
74.112	-26.98287	-24.08444	-21.03069	-18.06555	-15.14928	-10.59958	-9.12507	-5.99797	-2.48939
74.16	-26.96076	-24.10835	-21.07953	-18.049	-15.15975	-10.45312	-9.24874	-5.947	-2.04155
74.208	-26.95933	-24.09366	-21.07105	-18.04859	-15.15322	-10.35294	-9.35411	-5.71208	-2.01398
74.256	-26.97476	-24.09019	-21.0781	-18.06184	-15.08066	-10.36665	-9.29957	-5.74942	-1.7639
74.304	-26.98917	-24.06609	-21.04598	-18.12532	-15.10016	-10.71973	-9.12558	-5.94028	-1.65997
74.352	-26.96086	-24.10409	-21.05766	-18.12208	-15.14038	-10.95456	-8.94464	-6.11877	-1.59177
74.4	-26.98866	-24.06155	-20.96225	-18.14177	-15.08779	-11.44091	-8.75656	-6.07447	-1.59812
74.448	-26.96623	-24.05354	-20.94344	-18.08204	-15.06069	-11.72972	-8.69248	-5.89316	-1.66428
74.496	-26.98064	-24.07244	-20.98765	-18.08264	-15.04373	-11.94272	-8.53123	-5.73455	-1.72906
74.544	-26.95887	-24.07888	-21.02953	-18.0668	-14.94925	-12.03183	-8.25747	-5.52956	-1.65001
74.592	-26.94399	-24.03579	-21.04205	-18.0535	-14.95365	-11.95769	-8.06717	-5.48865	-1.82641
74.64	-26.93357	-23.96916	-21.04348	-18.04252	-14.94693	-11.87535	-7.89337	-5.19932	-1.96375
74.688	-26.97207	-24.05729	-21.00354	-17.98381	-15.02126	-11.80019	-7.71173	-4.98372	-2.25571
74.736	-26.96873	-24.09899	-21.04432	-17.94943	-15.07811	-11.68964	-7.55108	-4.54756	-2.54999
74.784	-26.98736	-24.08949	-21.03422	-17.98432	-15.05647	-11.75321	-7.52792	-4.22219	-2.75466
74.832	-26.98968	-24.09997	-21.01119	-18.07032	-15.05545	-11.70363	-7.50378	-4.30291	-2.868
74.88	-27.00149	-24.13931	-21.00053	-18.08496	-14.99081	-11.67101	-7.35179	-4.48464	-2.92128
